,user_name,question,user_answer,bot_answer
0,kelly,Are you a student?,yes,Thanks For Sharing
0,kelly,How was your day?,bad,I'm Sorry to hear that!
0,kelly,How many Job Offers have you received?,0,You will get it!
0,kellu,Are you a student?,yes,Ok get it.
0,kellu,How was your day?,good,Great to Hear!
0,kellu,How many interviews have you received?,1,Congrats!
0,mia,Are you a student?,yes,Ok get it.
0,mia,How was your day?,wonderful,Great to Hear!
0,mia,How many interviews have you received?,1,Congrats!
0,jack,Are you a student?,yes,Ok get it.
0,jack,How was your day?,wonderful,Great to Hear!
0,jack,How many interviews have you received?,2,Congrats!
0,Alabama,Are you a student?,no,Ok get it.
0,Alabama,How was your day?,bad,I'm Sorry to hear that!
0,Alabama,How many interviews have you received?,4,Congrats!
0,Duck,Are you a student?,no,Ok get it.
0,Duck,How was your day?,great,Great to Hear!
0,Duck,How many interviews have you received?,2,Congrats!
0,Woodie,Are you a student?,yes,Ok get it.
0,Woodie,How was your day?,so so,Oh yeah!
0,Woodie,How many interviews have you received?,0,You will get it!
0,Jerry,Are you a student?,no,Ok get it.
0,Jerry,How was your day?,nice,Great to Hear!
0,Jerry,How many interviews have you received?,6,Congrats!
0,kellu,Are you a student?,yes,Ok get it.
0,kellu,How was your day?,good,Great to Hear!
0,kellu,How many interviews have you received?,1,Congrats!
0,nancy,Are you a student?,yes,Ok get it.
0,nancy,How was your day?,Great,Oh yeah!
0,nancy,How many interviews have you received?,4,Congrats!
0,farry,Are you a student?,no,Ok get it.
0,farry,How was your day?,Good,Oh yeah!
0,farry,How many interviews have you received?,1,Congrats!
0,fanny,Are you a student?,no,Ok get it.
0,fanny,How was your day?,bad,I'm Sorry to hear that!
0,fanny,How many interviews have you received?,0,You will get it!
